MARGINELLIDAE,Marginella,glabella,F++,29-32,W. Sahara,white,"8,00",
MARGINELLIDAE,Marginella,glabella,F++,37-39,W. Sahara,,"4,00",
MARGINELLIDAE,Marginella,glabella,F++,26-27,W. Sahara,,"3,00",
MARGINELLIDAE,Marginella,glabella,F++,42,W. Sahara,,"6,00",
MARGINELLIDAE,Marginella,goodali,F++,35-36,Guinea Bissau,Huges,"45,00",
MARGINELLIDAE,Marginella,interruptolineata,F++,12,Venezuela,Larges,"6,00",
MARGINELLIDAE,Marginella,interruptolineata,F++,15,Venezuela,Huges,"8,00",
MARGINELLIDAE,Marginella,irrorata,F++,24-25,Mauritania,,"15,00",
MARGINELLIDAE,Marginella,keenii,F++,12-12.5,Sud Africa,,"10,00",
MARGINELLIDAE,Marginella,persicula,F++,19-20,Senegal,,"5,00",
MARGINELLIDAE,Marginella,philippinarum,F++,11-12,Philippines,,"3,00",
MARGINELLIDAE,Marginella,piperata,F++,15-17,Sud Africa,,"8,00",
MARGINELLIDAE,Marginella,precursor,F++,23-25,USA,Fossil,"15,00",
MARGINELLIDAE,Marginella,rosea,F++,26-29,Sud Africa,,"7,00",
MARGINELLIDAE,Marginella,sagittata,F++,6-6.5,Brasil,,"10,00",
MARGINELLIDAE,Marginella,senegalensis,F++,27-29,W. Sahara,Pink,"15,00",
MARGINELLIDAE,Marginella,senegalensis,F++,30-32,W. Sahara,Larges,"12,00",
MARGINELLIDAE,Marginella,sp,F++,38,Mauritania,,"10,00",
MARGINELLIDAE,Marginella,sp,F++,45,Mauritania,,"15,00",
MARGINELLIDAE,Marginella,spinacia,F++,6.5-7.0,Sao Tome,,"15,00",
MARGINELLIDAE,Marginella,ventricosa,F++,20,India,,"5,00",
MARGINELLIDAE,Persicula,accola,F++,19-20,Panama,,"7,00",
MARGINELLIDAE,Prunum,terverianum,F++,8-8.5,Israel,,"10,00",
MARGINELLIDAE,Volvarina,deliciosa,F++,12-13,W. Sahara,,"12,00",
MARGINELLIDAE,Volvarina,insulana,F++,8-9,Sao Tome,,"25,00",
MARGINELLIDAE,Volvarina,cf. Subamoena,F++,2-3,New Zealand,,"10,00",
MARGINELLIDAE,Volvarina,cf. Subamoena,F++,5,New Zealand,,"15,00",
MITRIDAE,Neocancilla,papilio,F++,30-32,Huahine,,"2,00",
MITRIDAE,Vexillum ,acuminatum,F++,30-32,India,,"4,00",
MITRIDAE,Mitra,swainsoni,F++,110-120,Ecuador,,"15,00",
MITRIDAE,Mitra,swainsoni,F++,68.2,Ecuador,,"10,00",
MITRIDAE,Mitra,variabilis,F++,30-31,Australia,,"5,00",
MURICIDAE,Babelomurex,armatus,F++,28-29,Japan,,"12,00",
MURICIDAE,Babelomurex,fruticosus,F++,11-12,Philippines,,"10,00",
MURICIDAE,Babelomurex,lischkeanus,F++,37,Taiwan,tiny chipped lip,8.00,
MURICIDAE,Coralliophila,bulbiformis,F++,24-25,Japan,Natural surface,"2,00",
MURICIDAE,Coralliophila,costularis,F++,22,Japan,Natural surface,"5,00",
MURICIDAE,Coralliophila,costularis,F++,31,Japan,Natural surface,"6,00",
MURICIDAE,Coralliophila,fearnleyi,F++,37-38,Japan,,"5,00",
MURICIDAE,Coralliophila,neritoidea,F++,18-19,Philippines,,"2,00",
MURICIDAE,Coralliophila,panormitana,F++,17-18,Spain,W/O,"15,00",
MURICIDAE,Haustrum,lacunosum,F++,23-24,New Zealand,W/O,"10,00",
MURICIDAE,Hirtomurex,squamosus,F++,29-32,Italy,W/O,"10,00",
MURICIDAE,Hirtomurex,squamosus,F++,29-30,Italy,,"7,00",
MURICIDAE,Latiaxis,dalli,F++,28-30,Brazil,W/O,"20,00",
MURICIDAE,Latiaxis,gemmatus,F++,20,Philippines,,"6,00",
MURICIDAE,Latiaxis,gyratus,F++,43,Taiwan,,"20,00",
MURICIDAE,Latiaxis,japonicus,F+,35-36,Japan,,"5,00",
MURICIDAE,Latiaxis,mawae,F++,30-31,Japan,W/O,"7,00",
MURICIDAE,Latiaxis,spinosus,F++,14,Philippines,,"8,00",
MURICIDAE,Latiaxis,stenospinosus,F+,22-23,Japan,"w/O, some long spines","10,00",
MURICIDAE,Ocenebra ,inermicosta,F++,22-23,Angola,,"6,00",
MURICIDAE,Paratrophon,patens,F++,10-12,New Zealand,,"5,00",
MURICIDAE,Chorus,giganteus,F+,90-99,Chile,"Minor chipped lip, Uncommon","10,00",
MURICIDAE,Chorus,giganteus,F+,101-110,Chile,"Minor chipped lip, Uncommon","12,00",
MURICIDAE,Concholepas,concholepas,F++,125.8,Chile,"Large, Top quality for this species and size, W/O","35,00",
MURICIDAE,Concholepas,concholepas,F++,134.1,Chile,"Large, Top quality for this species and size, W/O","45,00",
MURICIDAE,Concholepas,concholepas,F+,136.7,Chile,"Large size, some chipped lip. W/O,","35,00",
MODULIDAE,Modulus,catenulatus,F++,13-16,Peru,,2.00,
NACELLIDAE,Cellana,ardiosaea,F+,30-35,Chile,"Endemic to Juan Fernandez Island, Uncommon, minor chipped edge",7.00,
NACELLIDAE,Cellana,ardiosaea,F+,35+ - 39,Chile,"Endemic to Juan Fernandez Island, Uncommon, minor chipped edge",10.00,
NACELLIDAE,Cellana,ardiosaea,F+,40+,Chile,"Endemic to Juan Fernandez Island, Uncommon, minor chipped edge",20.00,
NACELLIDAE,Cellana,grata,F++,40-41,Japan,,"7,00",
NACELLIDAE,Cellana,grata,F++,32,Japan,,"4,00",
NASSARIIDAE,Cyllene,grayi,F++,14,Somalia,,"5,00",
NASSARIIDAE,Cyllene,grayi,F++,16.5,Somalia,,"8,00",
NASSARIIDAE,Nassarius,dentifer,F++,21-23,Chile,,"3,00",
NASSARIIDAE,Nassarius,gruneri,F++,17-18,Philippines,,"2,00",
NASSARIIDAE,Nassarius,luteostoma,F++,20,Ecuador,,"2,00",
NASSARIIDAE,Nassarius,margaritiferus,F++,21-22,Philippines,,"1,00",
NASSARIIDAE,Phrontis,pagodus,F++,19-20,Ecuador,,"2,00",
NASSARIIDAE,Phrontis,pagodus,F++,22-24,Ecuador,,3.50,
NATICIDAE,Natica,fulminea,F++,25-27,Guinea Bissau,,"6,00",
NATICIDAE,Natica,monodi,F++,24-26,,"Growth line, W/O","6,00",
NERITIDAE,Nerita,polita,F++,26-27,Thailand,,"3,00",
NERITIDAE,Nerita,lirellata,F++,20-21,Easter Island,Uncommon,"8,00",
NERITIDAE,Nerita ,morio,F++,12-14,Easter Island,,2.00,
NERITIDAE,Nerita ,morio,F++,18-20,Easter Island,W/O,4.00,
NERITIDAE,Nerita ,funiculata,F++,10-12,Ecuador,,1.50,
NERITIDAE,Neritina,virginea,F++,12-15,Brasil,,1.50,
NERITIDAE,Theodoxus,luteofasciatus,F++,10-12,Peru,"Variable pattern, W/O","2,00",
NERITIDAE,Theodoxus,luteofasciatus,F++,13-14,Peru,"Colour red brownish, Nice samples, W/O, Larges.","8,00",
NERITIDAE,Neritina,usnea,F,13-15,USA,"Some erosion in apex, minor scars, W/O",1.50,
OLIVIDAE,Agaronia,acuminata,F++,53-55,Guinea Bissau,Rough lip,"5,00",
OLIVIDAE,Agaronia,johnkochi,F++,29-30,Indonesia,,"7,00",
OLIVIDAE,Agaronia,nebulosa,F++,43-44,Indonesia,,"6,00",
OLIVIDAE,Agaronia,propatula,F++,19-20,Panama,Nice ORANGE,"6,00",
OLIVIDAE,Agaronia,testacea,F++,34-35,Panama,,"4,00",
OLIVIDAE,Amalda,australis,F++,36-37,New Zealand,,"5,00",
OLIVIDAE,Amalda,depressa,F++,14+,New Zealand,,"5,00",
OLIVIDAE,Amalda,mammilata,F++,30-32,Vietnam,W/O,"7,00",
OLIVIDAE,Amalda,mucronata,F++,22-25,New Zealand,W/O,"5,00",
OLIVIDAE,Ancilla,lienardi,F++,35-40,Brasil,,"6,00",
OLIVIDAE,Ancilla,lienardi,F++,28-29,Brasil,Nice colour,"6,00",
OLIVIDAE,Ancilla,mauritiana,F,,,Chipped lip,,
OLIVIDAE,Ancilla,cinnamonea,F++,28,India,,"4,00",
OLIVIDAE,Oliva,annulata,F++,39-40,Philippines,,"5,00",
OLIVIDAE,Oliva,duclosi,F++,23-24,Tahiti,Large,"4,00",
OLIVIDAE,Oliva,flammulata,F++,25-27,Senegal,,"3,00",
OLIVIDAE,Oliva,fulgurator,F++,45-46,Aruba,Large,"10,00",
OLIVIDAE,Oliva,hirasei,F++,52-53,Taiwan,Large,"7,00",
OLIVIDAE,Oliva,irisans oldi,F++,60,Taiwan,,"10,00",
OLIVIDAE,Oliva,lignaria,F++,45-46,Australia,,"4,00",
OLIVIDAE,Oliva,mucronata,F++,18-19,Indonesia,,"7,00",
OLIVIDAE,Oliva,multiplicata,F++,40-41,Taiwan,,"10,00",
OLIVIDAE,Oliva,oliva,F++,18-19,Philippines,,"2,00",
OLIVIDAE,Oliva,porphyria,F+,63,Panama,Rough lip,"15,00",
OLIVIDAE,Oliva,reticulata,F++,42-45,Philippines,,"5,00",
OLIVIDAE,Oliva,scripta,F++,35-36,Honduras,,"5,00",
OLIVIDAE,Oliva,spicata,F++,29-34,Mexico,,"4,00",
OLIVIDAE,Oliva,tigridella,F++,18-19,Philippines,,"3,00",
OLIVIDAE,Oliva,undatella ecuatoriana,F++,18-19,Ecuador,,"3,00",
OLIVIDAE,Oliva ,vidua,F++,44-45,Philippines,,"5,00",
OLIVIDAE,Olivancillaria,carcellesi,F++,30-31,Uruguay,,"10,00",
OLIVIDAE,Olivancillaria,contortuplicata,F++,24-25,Uruguay,,"8,00",
OLIVIDAE,Olivancillaria,deshayesiana,F++,30-31,Uruguay,,"7,00",
OLIVIDAE,Olivancillaria,uretai,F++,26-27,Uruguay,,"5,00",
OLIVIDAE,Olivella,biplicata,F++,17-18,USA,,"2,00",
OLIVIDAE,Olivella,cf. Cymatilis,F++,12-14,Ecuador,Only 2,"20,00",
OLIVIDAE,Olivella,cocosensis,F++,13-14,Panama,,"2,00",
OLIVIDAE,Olivella,dama,F++,16-17,Mexico,,"2,00",
OLIVIDAE,Olivella,nivea,F++,14-15,Brasil,,"2,00",
OLIVIDAE,Olivella,peterseni,F++,10-13,Ecuador,,"6,00",
OLIVIDAE,Olivella,semistriata,F++,10-11,Ecuador,,5x$2,
OLIVIDAE,Olivella,semistriata,F++,9-10,Ecuador,Blue,"5,00",
OLIVIDAE,Olivella,semistriata,F++,9-10,Ecuador,Uncommon YELLOW,"6,00",
OLIVIDAE,Olivella,undatella,F++,10-11,Ecuador,,"2,00",
OLIVIDAE,Olivella,verreauxi,F++,11,Brasil,,"5,00",
OLIVIDAE,Olivella,volutella,F++,19-22,Peru,,"3,00",
OLIVIDAE,Olivella,zanoeta,F++,11-13,Ecuador,,"7,00",
OLIVIDAE,Olvella,zanoeta,F++,9-10,Mexico,,"5,00",
OVULIDAE,Crenavolva,striatula,F++,7-8,Japan,,"10,00",
OVULIDAE,Crenavolva,takeoi,F++,7-8,Philippines,,"5,00",
OVULIDAE,Cyphoma,emarginatum,F++,17-19,Ecuador,,"7,00",
OVULIDAE,Cyphoma,emarginatum,F++,22,Ecuador,,"10,00",
OVULIDAE,Dentiovula,eizoi,F++,7-8,Japan,,"10,00",
OVULIDAE,Dissona,tosaensis,F++,8-9,Japan,,"25,00",
OVULIDAE,Pedicularia,pacifica,F++,5-6,Japan,,"10,00",
OVULIDAE,Phenacovolva,alabaster,F++,7-9,Japan,,"10,00",
OVULIDAE,Phenacovolva,angasi,F++,8-9,Japan,,"12,00",
OVULIDAE,Phenacovolva,birostris,F++,22,Japan,,"5,00",
OVULIDAE,Phenacovolva,birostris,F++,27-28,Japan,,"7,00",
OVULIDAE,Phenacovolva,castanea,F++,13,Somalia,,"10,00",
OVULIDAE,Phenacovolva,castanea,F++,17,Somalia,,"15,00",
OVULIDAE,Phenacovolva,fusula,F++,12,Japan,,"8,00",
OVULIDAE,Phenacovolva,fusula,F++,16,Japan,,"10,00",
OVULIDAE,Phenacovolva,longirostrata,F++,40-42,Japan,,"10,00",
OVULIDAE,Phenacovolva,longirostrata,F++,50,Japan,,"18,00",
OVULIDAE,Phenacovolva,longirostrata,F++,45,Japan,,"12,00",
OVULIDAE,Prionovolva,longirostrata,F++,47,South Africa,,"15,00",
OVULIDAE,Prionovolva,philippinarum,F++,15,Japan,,"20,00",
OVULIDAE,Prionovolva,pudica wilsoniana,F++,6.5,Japan,,"5,00",
OVULIDAE,Prionovolva,pudica wilsoniana,F++,8.8,Japan,,"7,00",
OVULIDAE,Pseudosimnia,rosea,F++,31-32,Philippines,,"3,00",
OVULIDAE,Simnia,spelta,F++,,Spain,,"10,00",
PATELLIDAE,Nacella,magellanica chiloensis,F+,46-49,Chile,Huge,6.00,
PATELLIDAE,Nacella,magellanica chiloensis,F+,30-35,Chile,,2.00,
PATELLIDAE,Nacella,magellanica chiloensis,F+,36-39,Chile,,3.00,
PATELLIDAE,Nacella,magellanica magellanica,F++,30-40,Chile,,3.00,
PATELLIDAE,Nacella,magellanica magellanica,F++,41-45,Chile,,5.00,
PATELLIDAE,Nacella,magellanica magellanica,F++,45-50,Chile,,7.00,
PATELLIDAE,Nacella,magellanica magellanica,F++,over 50,Chile,,10.00,
PATELLIDAE,Nacella,deaurata,F++,30-40,Chile,,3.00,
PATELLIDAE,Nacella,deaurata,F++,41-45,Chile,,"4,00",
PATELLIDAE,Nacella,deaurata,F++,46-50,Chile,,"6,00",
PATELLIDAE,Nacella,deaurata,F++,51-55,Chile,,"8,00",
PATELLIDAE,Nacella,deaurata aurea,F++,30-35,Chile,,6.00,
PATELLIDAE,Nacella,deaurata aurea,F++,40-45,Chile,,10.00,
PATELLIDAE,Nacella,deaurata aurea,F+,50+,Chile,Fresh dead,12.00,
PATELLIDAE,Nacella,deaurata aurea,F++,38-41,Chile,goldish inside,20.00,
PATELLIDAE,Nacella,clypeater,F+,25-29,Chile,Nice shells,5.00,
PATELLIDAE,Nacella ,clypeater,F/F+,30-40,Chile,"very uncommon, uncleaned surface",7.00,
PATELLIDAE,Nacella ,clypeater,F/F+,41-45,Chile,"very uncommon, uncleaned surface",9.00,
PATELLIDAE,Nacella ,clypeater,F/F+,46-49,Chile,HUGE; some chipped edge,15.00,
PATELLIDAE,Cellana,ardioseae,F+,28-30,Juan Fernandez Is.,"minor chipped edge, Uncommon",5.00,
PATELLIDAE,Cellana,ardioseae,F+,31-35,Juan Fernandez Is.,"minor chipped edge, Uncommon",7.00,
PATELLIDAE,Cellana,ardioseae,F+,36-39,Juan Fernandez Is.,"minor chipped edge, Uncommon",10.00,
PATELLIDAE,Nacella,mytilina,F++,43-44,Chile,"Rare, Huges samples","20,00",
PERSONIDAE,Distorsio,clathrata,F++,33,USA,"W/O, W/P","15,00",
PHASIANELLIDAE,Eulithidium,macleani,F++,"micro, 2mm.",Chile,Rare,"10,00",
PHASIANELLIDAE,Phasianella,australis,F++,50-60,Australia,"Minor rough lip, fragile shell, Nice","8,00",
PHASIANELLIDAE,Phasianella,australis,F++,65+,Australia,"Minor rough lip, fragile shell, Nice","10,00",
PLANAXIDAE,Planaxis,sulcatus,F+,14-16,Japan,some erosion on first whorl,1.00,
PLANAXIDAE,Planaxis,akuana,F++,10-12,Easter Island,W/P,"1,50",
PLANAXIDAE,Planaxis,planicostatus,F++,,Ecuador,,1.50,
PLEUROTOMARIIDAE,Bayerotrochus,teramachii,F+,110+,China,"Chipped lip, W/O","12,00",
POTAMIDIDAE,Rhinocoryne,humboldti,F++,32-35,Peru,,3.00,
POTAMIDIDAE,Cerithidea,Mazatlanica,F++,,Perú,,"2,00",
PSEUDOMELATOMIDAE,Lioglyphostoma,oenoa,F++,5-6,USA,Uncommon,"10,00",
Pyramellidae,Otopleura,auriscati,F++,20-22,Philippines,,2.50,
RANELLIDAE,Cymatiella,verrucosa,F++,13-14,Australia,,"7,00",
RANELLIDAE,Cymatium,gutturnium,F++,38,Vietnam,,"4,00",
RANELLIDAE,Argobuccinum,ranelliformis,F++,90-97,Chile,"WO, W/P, typical missing protoconch",10.00,
RANELLIDAE,Argobuccinum,ranelliformis,F++,100-104,Chile,"WO, W/P, typical missing protoconch",15.00,
RANELLIDAE,Sassia,sexcostata,F++,16-17,Australia,,"7,00",
RANELLIDAE,Cymatium ,keenae,F+,115.4,Peru,"Fresh dead, protoconch missing","10,00",
RANELLIDAE,Cymatium ,keenae,F+,90-100,Peru,Fresh dead,"10,00",
RANELLIDAE,Cymatium,lotorium,F++,82-83,Philppines,,"6,00",
RANELLIDAE,Biplex ,perca,F++,70+,China,,"6,00",
RAPHITOMIDAE,Thatcheria ,mirabilis,F++,69+,Taiwan,Minor imperfections,"15,00",
RISSOIDAE,Rissoina,inca,F++,6-8,Chile,,1.50,
RISSOIDAE,Rissoina,cf. Achatina,F++,3-4,New Zealand,,5.00,
RISSOIDAE,Rissoina,turricula  englerti,F++,,Easter Island,,5.00,
RISSOIDAE,Zebina,tridentata,F++,3-4,Easter Island,,4.00,
SIPHONARIIDAE,Siphonaria,lessoni,F++,,Chile,,1.00,
SIPHONARIIDAE,Siphonaria,maura,F++,13-15,Ecuador,,"2,00",
STROMBIDAE,Strombus,aratrum,F++,73 ,Australia,,"10,00",
STROMBIDAE,Strombus,erythrinus,F++,23,Philippines,,"2,00",
STROMBIDAE,Strombus,fragilis,F++,33.5,Philippines,,"5,00",
STROMBIDAE,Strombus,listeri,F++,90-99,Thailand,,6.00,
STROMBIDAE,Strombus,listeri,F++,100+,Thailand,,8.00,
STROMBIDAE,Strombus,maculatus depauperatus,F++,25-26,Easter Island,,4.00,
STROMBIDAE,Strombus,aratrum,F++,74-77,China,,"5,00",
TEREBRIDAE,Pristiterebra,tuberculosa,F++,31,Ecuador,,"10,00",
TEREBRIDAE,Acuminia,Venosa,F++,18-20,Easter Island,Very uncommon now,"8,00",
TEREBRIDAE,Acuminia,Venosa,F,,Easter Island,Broken lip,"2,00",
TRIVIIDAE,Erato,callosa,F++,4-5,Japan,,"2,00",
TRIVIIDAE,Triviella,millardi,F++,,Sud Africa,,"10,00",
TRIVIIDAE,Trivia,solandri,F++,18-20,Ecuador,,4.00,
TRIMUSCULIDAE,Trimusculus,peruvianus,F++,20-23,Chile,"The best samples, without the typical top erosion",4.00,
TROCHIDAE,Austrocochlea,constricta,F++,18-19,Australia,,"2,00",
TROCHIDAE,Diloma,durvillaea,F++,14-15,New Zealand,W/O,"5,00",
TROCHIDAE,Granata,imbricata,F++,19-21,Australia,,"2,00",
TROCHIDAE,Clanculus,undatus,F++,25-27,Australia,,"4,00",
TURBINIDAE,Astraea,haematraga,F++,27-28,Japan,,"7,00",
TURBINIDAE,Bolma,modesta,F++,42-43,Japan,W/O,"8,00",
TURBINIDAE,Bolma,modesta,F++,47,Japan,,"10,00",
TURBINIDAE,Bolma,henica gloriosa,F+,24-26,Japan,"W/O, minor spines damage","6,00",
TURRIDAE,Pleurotomella,aguayoi,F+,19,Brasil,,"5,00",
TURRIDAE,Gymnobella,agassisi,F+,25,USA,"Fresh dead, trawled at 1208 m.","70,00",
TURRIDAE,Lophiotoma,indica,F++,35,Australia,,"4,00",
TURRIDAE,Polystira,tellea,F++,45-46,USA,"growth line, W/O","20,00",
TURRIDAE,Clavus,unizonalis,F++,18,Fiji,Nice sample,"10,00",
TURRIDAE,Crassispira,nigerrima,F++,17-20,Ecuador,Larges,5.00,
TURRIDAE,Glyphostoma,neglecta,F++,11-13,Ecuador,,5.00,
TURRIDAE,Ptychosyrinx,chilensis,F+,41-44,Chile,Larges,25.00,
TURRIDAE,Ptychosyrinx,chilensis,F+,36-39,Chile,,15.00,
TURRIDAE,Ptychosyrinx,chilensis,F,36-39,Chile,dead collected,5.00,
,,,,,,,"10,00",
TURRITELLIDAE,Maoricolpus,roseus,F++,50-52,New Zealand,,,
TURRITELLIDAE,Turritella,cingulata,F+,58,Chile,"W/O, HUGE,","6,00",
TURRITELLIDAE,Turritella,cingulata,F+,60.4,Chile,"W/O,  maybe world record size.","20,00",
TURRITELLIDAE,Turritella,cingulata,F+,45-48,Chile,,3.00,
TURRITELLIDAE,Turritella,banksii,F++,19,Ecuador,,"3,00",
VASIDAE,Hystrivasum,locklini,F++,65,USA,"Fossil, Pliocene","8,00",
VASIDAE,Hystrivasum,locklini,F++,77.5,USA,"Fossil, Pliocene","12,00",
VOLUTIDAE,adelomelon,ancilla,F,140+,Chile,trimmed lip,15.00,
VOLUTIDAE,alcithoe,swainsoni motutarensis,F+,110-112,New Zealand,"Minor scar near columella, chipped canal",30.00,
VOLUTIDAE,Amoria,exoptanda,F++,97-98,Australia,,30.00,
VOLUTIDAE,Amoria,guttata,F++,43-44,Australia,,20.00,
VOLUTIDAE,Amoria,guttata,F++,33-34,Australia,,"15,00",
VOLUTIDAE,Amoria,maculata,F++,71-72,Australia,,18.00,
VOLUTIDAE,Amoria,molleri reducta,F++,50,Australia,minor chipped lip,15.00,
VOLUTIDAE,Amoria,molleri reducta,F++,47-48,Australia,,10.00,
VOLUTIDAE,Amoria,zebra,F++,36-37,Australia,Golden form,15.00,
VOLUTIDAE,Ampulla,priamus,F,60,W. Sahara,Growth lines,15.00,
VOLUTIDAE,Ampulla,priamus,F,53-54,W. Sahara,Typical growth lines,10.00,
VOLUTIDAE,Ampulla,priamus,F++,50-51,W. Sahara,very nice sample,20.00,
VOLUTIDAE,Cymbiola,cymbiola,F+,65,Indonesia,Tiny natural irregularity on lip,40.00,
VOLUTIDAE,Cymbiola,chrysostoma,F++,53-54,Indonesia,,40.00,
VOLUTIDAE,Cymbiola,chrysostoma,F++,46-47,Indonesia,,"30,00",
VOLUTIDAE,Cymbiola,cymbiola,F++,62-64,Indonesia,,50.00,
VOLUTIDAE,Cymbiolacca,pulchra houarti,F++,49-50,Australia,tiny chipped lip,15.00,
VOLUTIDAE,Cymbiolista,hunteri,F++,100-101,Australia,"Tiny growth line, Very nice with some orange colour",20.00,
VOLUTIDAE,Cymbium ,cucumis,F++,144-145,W. Africa,Tiny rough lip,"20,00",
VOLUTIDAE,Ericusa,fulgetrum,F++,125,Australia,Tiny growth lines,45.00,
VOLUTIDAE,Ericusa,papillosa,F++,121,Australia,,25.00,
VOLUTIDAE,Ericusa,sericata,F++,85-86,Australia,,15-00,
VOLUTIDAE,Ericusa,sowerbyi,F++,155-157,Australia,brown dyed because the habitat,35.00,
VOLUTIDAE,Fulgoraria,hamillei,F++,104,Japan,,18.00,
VOLUTIDAE,Fusivoluta,clarkei,F+,79,South Africa,minor growth line,10.00,
VOLUTIDAE,Fusivoluta,clarkei,F+,107,South Africa,"One growth line, minor rough lip",15.00,
VOLUTIDAE,Lyria,delessertiana,F++,48-49,Madagascar,W/O,10.00,
VOLUTIDAE,Lyria,kurodai,F++,60,Vietnam,,7.00,
VOLUTIDAE,Lyria,mitraeformis,F++,51-52,Australia,"W/O, larges",20.00,
VOLUTIDAE,Lyria,planicostata,F++,46-48,Philippines,,15.00,
VOLUTIDAE,Miomelon,alarconi,F++,63,Chile,very nice sample,80.00,
VOLUTIDAE,Miomelon,alarconi,F+,61,Chile,"Nice surface, minor chipped lip",60.00,
VOLUTIDAE,Miomelon,alarconi,F+,67,Chile,"nice surface, HUGE","100,00",
VOLUTIDAE,Miomelon,alarconi,F+,58,Chile,"Nice surface, tiny growth line near outer lip",40.00,
VOLUTIDAE,Notovoluta,gardneri,F++,82-83,Australia,,30.00,
VOLUTIDAE,Notovoluta,gardneri,F++,71-77,Australia,Some tiny drill attemps on first whorl,15.00,
VOLUTIDAE,Odontocymbiola,americana,F++,35-37,Brasil,,10.00,
VOLUTIDAE,Provocator ,mirabilis,F+,87,New Zealand,"Minor lip problem, ",10.00,
VOLUTIDAE,Scaphella ,junonia johnstonae,F,102,USA,trimmed lip,20.00,
VOLUTIDAE,Scaphella ,dubia kieneri,F++,102-103,USA,tiny lip problem,40.00,
VOLUTIDAE,Voluta,damoni,F++,70-71,Australia,,15.00,
VOLUTIDAE,Voluta,studeri,F++,40-42,Australia,,8.00,
VOLUTIDAE,Voluta,studeri,F++,45-46,Australia,,10.00,
VOLUTIDAE,Voluta,virescens,F++,77-79,Honduras,Larges,50.00,
VOLUTIDAE,volutoconus,grossi,F++,55-57,Australia,minor trimmed lip,20.00,
VOLUTIDAE,Zidona,dufresnei affinis,F++,89-90,Argentina,,20.00,
XENOPHORIDAE,Xenophora  ,crispa,f++,42-44,Spain,,"10,00",
XENOPHORIDAE,Xenophora  ,japonica,F+,30+,Japan,Size without attachment,"6,00",
XENOPHORIDAE,Xenophora  ,torrida,F+,34,Japan,Size without attachment,"5,00",
ARCIDAE,Barbatia,foliata,F++,23-24,Japan,,"2,00",
CHAMIDAE,Arcinella,cornuta,F++,28,USA,,"5,00",
CHAMIDAE,Chama,pellucida,F+,25-30,Chile,Very good quality for this species only minor erosion on dorsum,7.00,
CHAMIDAE,Chama,pellucida,F+,31+,Chile,Very good quality for this species only minor erosion on dorsum,10.00,
CORBULIDAE,Corbula,nasuta,F++,6-7,Ecuador,,"3,00",
CYAMIIDAE,Gaimardia ,trapesina,F++,20+,Chile,,2.00,
DONACIDAE,Donax,mancorensis,F++,15-17,Ecuador,,4.00,
DONACIDAE,Donax,dentifer,F++,20-22,Ecuador,,2.00,
LIMIDAE,Limaria,orientalis,F++,17-18,Australia,,"5,00",
LIMOPSIDAE,Limopsis,minuta,F++,8-10,Canary Island,,10.00,
LIMOPSIDAE,Limopsis,ruizana,F++,20-25,Canary Island,Trawled in about 300 m.,6.00,
ASTARTIDAE,Astarte,sulcata,F,,Italy,"Uncommon, Drilled by depredator.","2,00",
MYTILIDAE,Lithophaga,peruviana,F+,46,Chile,Uncommon shell,4.00,
MYTILIDAE,Lithophaga,peruviana,F+,58-61,Chile,,6.00,
MYTILIDAE,Lithophaga,peruviana,F+,71,Chile,Huge,10.00,
MYTILIDAE,Brachidontes,granulata,F++,15-18,Chile,,1.50,
MYTILIDAE,Brachidontes,granulata,F++,20+,Chile,,2.50,
MYTILIDAE,Aulacomya,ater,F+,60+,Chile,,3.00,
MYTILIDAE,Choromytilus,chorus,F+,70+,Chile,,"4,00",
MYTILIDAE,Choromytilus,chorus,F+,90+,Chile,,"7,00",
MYTILIDAE,Aulacomya,ater,F+,100+,Chile,,"4,00",
PECTINIDAE,Argopecten ,ventricosus inca,F++,34-39,Ecuador,,4.00,
PECTINIDAE,Argopecten ,ventricosus inca,F++,40,Ecuador,Nice orange sample.,15.00,
PECTINIDAE,chlamys,empressae,F++,16-18,Japan,,7.00,
PECTINIDAE,chlamys,empressae,F++,20+,Japan,,12.00,
PECTINIDAE,Nodipecten,nodosus,F++,80-85,Brasil,"Nice red samples, with one depredator hole on the bottom valve.","5,00",
PECTINIDAE,Nodipecten,nodosus,F++,118,Brasil,"Nice nodules, large.","30,00",
PECTINIDAE,Pecten,purpuratus,F++,70-80,Chile,"Nice, with dark ribs, minor chipped",8.00,
PECTINIDAE,Pecten,purpuratus,F+,70-75,Chile,"ORANGE form,minor erosion on umbos, Rare colour,",10.00,
PECTINIDAE,Pecten,purpuratus,F+,75+,Chile,"ORANGE FORM,tiny chipped",15.00,
PECTINIDAE,Pecten,purpuratus,F++,82,Chile,"ORANGE FORM, Nice sample",20.00,
PECTINIDAE,Pecten,zacae,F++,15-17,Panama,smooth form,"13,00",
PECTINIDAE,Pecten,zacae,F++,12-15,Panama,"Ribed form, rare.","30,00",
PECTINIDAE,Pecten,glaber,F++,37-38,Italy,,,
PHOLADIDAE,Anchomasa,similis,F++,31,New Zealand,,"15,00",
PHOLADIDAE,Pholas,chiloensis,F++,70-80,Chile,"Seldon offered, Very uncommon species, minor chipped edge","8,00",
PHOLADIDAE,Pholas,chiloensis,F++,81-90,Chile,"Seldon offered, Very uncommon species, minor chipped edge","10,00",
